Year,Option,Spec,Space,"Intial Admit
Number","Inital Reject 
Number","Final Admit 
Number",Max grade,Min Grade
2015,,,,,,,,
2015,CPSC,,193,,,,,
2015,CPSC,Major Cognitive Systems(1226): Computational Intelligence and Design,,9,15,10,87.58,70.33
2015,CPSC,Major (0376): Computer Science (CPSC),,70,51,70,90.61,70.15
2015,CPSC,Combined Major (1370): Computer Science and Biology,20,10,11,10,93,70.45
2015,CPSC,Combined Major (1429): Computer Science and Mathematics,,27,10,27,94.21,70.19
2015,CPSC,Combined Major (1371): Computer Science & Microbiology and Immunology,25,25,13,25,90,70.03
2015,CPSC,Combined Major (1391): Computer Science and Physics,,19,11,19,92.7,70
2015,CPSC,Combined Major (1375): Computer Science and Statistics,,33,15,33,89.54,70.2
2015,Major ,,,,,,,
2015,Major ,Major (0030): Astronomy (ASTR),,7,0,8,76.3,59.2
2015,Major ,Major (0167): Atmospheric Science (ATSC),,2,0,2,,
2015,Major ,Major (0244): Biochemistry (BIOC),124(+10),134,85,127,96.8,74
2015,Major ,Major (3095): Biology (BIOL),380,359,0,379,92.5,53.15
2015,Major ,Major (0409): Chemistry (CHEM),84(+9),93,18,81,91.62,68
2015,Major ,Major Cognitive Systems(1225): Cognition and Brain,,49,0,59,86,50
2015,Major ,Major (1223): Earth and Ocean Sciences (EOSC),,11,0,11,83.46,50.42
2015,Major ,Major (1263): Environmental Sciences (ENSC),60,58,0,59,95.17,50.17
2015,Major ,Major (3068) Geographical Biogeosciences,,12,0,13,81.9,59.22
2015,Major ,Major (0001): Geophysics,,9,0,8,82.6,59
2015,Major ,Major (3193): Geology,,38,0,38,86.8,57.1
2015,Major ,Major (1682): Integrated Sciences (INSC),100,100,101,99,91,71.68
2015,Major ,Major (0456): Mathematics (MATH),,47,0,55,91.35,54.5
2015,Major ,Major (0185): Mathematical Sciences (MASC),,4,0,8,79.61,69.38
2015,Major ,Major (1153): Microbiology and Immunology (MBIM),125,125,208,124,95.9,79.4
2015,Major ,Major (0311): Pharmacology (PCTH),25,25,85,25,96.6,88.13
2015,Major ,Major (0524) Physics (PHYS),,54,0,54,91.85,54
2015,Major ,Major (0495): Psychology (PSYC),45,45,10,45,92.88,70.12
2015,Major ,Major (0562): Statistics (STAT),,46,0,61,90,48.28
2015,Combined Majors,,,,,,,
2015,Combined Majors,"Combined Major (3440): Chemical Biology (BIOL, CHEM)",20,20,29,18,88.8,71.86
2015,Combined Majors,Combined Major (3096): Science,200,115,0,153,88.84,48.09
2015,Combined Majors,Combined Major (3144): Microbiology and Oceanography,10,3,0,10,79.43,73.75
2015,Combined Majors,Combined Major (3125): Oceanography and Biology,,6,0,8,78.33,60.33
2015,Combined Majors,Combined Major (3126): Oceanography and Physics,,0,0,0,,
2015,Honours,,,,,,,
2015,Honours,Honours (1093): Biophysics (BIOP),25,25,9,9,83.79,71.45
2015,Honours,Honours (1136): Biotechnology,20,20,0,21,87.06,72.52
2015,Honours,Honours (0577): Fisheries Oceanography,2,0,0,0,0,0
2015,Honours,Honours (0166): Mathematics (MATH),,15,0,16,92.43,75
2015,Honours,Honours (0344): Physics (PHYS),,12,0,12,84.8,74
2015,Honours,"Honours (3221): Cellular, Anatomical and Physiological Sciences (CAPS)",20,20,43,20,93.2,86.65
2015,Combined Honours,,,,,,,
2015,Combined Honours,"Combined Honours (0565): Biochemistry and Chemistry (BIOC, CHEM)",8,8,1,8,93.84,72.64
2015,Combined Honours,"Combined Honours (0206): Chemistry and Mathematics (CHEM, MATH)",2,2,0,2,86.75,73.33
2015,Combined Honours,"Combined Honours (0517): Chemical Physics (CHEM, PHYS)",2,0,0,0,,
2015,Combined Honours,"Combined Honours (0535): Oceanography and Biology (OCGY, BIOL)",2,0,0,0,,
2015,Combined Honours,"Combined Honours (0009): Physics and Astronomy (PHYS, ASTR)",,5,0,5,84.9,80.03
2015,Combined Honours,"Combined Honours (0014): Physics and Mathematics (PHYS, MATH)",,12,0,12,93.67,72.38
2016,,,,,,,,
2016,CPSC,,152+16=168,,,,,
2016,CPSC,Major Cognitive Systems(1226): Computational Intelligence and Design,,5,39,4,,
2016,CPSC,Major (0376): Computer Science (CPSC),,82,145,81,93.9,77.3
2016,CPSC,Combined Major (1370): Computer Science and Biology,20,3,10,3,,
2016,CPSC,Combined Major (3401): Computer Science and Chemistry,4,2,5,2,,
